location,industry,fuels_consumed,date,value
aus,Construction,LPG,2000-01,0.2
aus,Construction,Naturalgas,2000-01,2.1
aus,Construction,Fueloil,2000-01,0.1
aus,Construction,Diesel,2000-01,25.3
aus,Construction,Electricity,2000-01,0.3
aus,Transport_postal,Electricity,2000-01,8.5
aus,Transport_postal,Naturalgas,2000-01,13.6
aus,Transport_postal,Fueloil,2000-01,39
aus,Transport_postal,Diesel,2000-01,313.8
aus,Transport_postal,LPG,2000-01,57.3
aus,Commercial_services,Naturalgas,2000-01,42.7
aus,Commercial_services,Fueloil,2000-01,0.3
aus,Commercial_services,Diesel,2000-01,14.3
aus,Commercial_services,LPG,2000-01,4.3
aus,Commercial_services,Blackcoal,2000-01,1.3
aus,Commercial_services,Solarenergy,2000-01,0.2
aus,Commercial_services,Electricity,2000-01,148.6
aus,Transport_postal,Blackcoal,2000-01,4.9
aus,Electricity_gas_water_serv,LPG,2000-01,1
aus,Electricity_gas_water_serv,Browncoal,2000-01,657.8
aus,Electricity_gas_water_serv,Blackcoal,2000-01,1176.1
aus,Electricity_gas_water_serv,Electricity,2000-01,110.3
aus,Electricity_gas_water_serv,Naturalgas,2000-01,257.6
aus,Electricity_gas_water_serv,Fueloil,2000-01,3.4
aus,Electricity_gas_water_serv,Diesel,2000-01,11.1
aus,Residential,Blackcoal,2000-01,0.1
aus,Residential,Electricity,2000-01,178.5
aus,Residential,Solarenergy,2000-01,2.4
aus,Residential,Naturalgas,2000-01,121.6
aus,Residential,Diesel,2000-01,1.5
aus,Residential,LPG,2000-01,10.8
aus,Manufacturing,Liquid/gasBiofuels,2000-01,1.6
aus,Manufacturing,Electricity,2000-01,265.6
aus,Manufacturing,Naturalgas,2000-01,397.8
aus,Manufacturing,Fueloil,2000-01,35.4
aus,Manufacturing,Diesel,2000-01,12.9
aus,Manufacturing,LPG,2000-01,17.5
aus,Mining,Electricity,2000-01,56.8
aus,Mining,Naturalgas,2000-01,126.1
aus,Mining,Fueloil,2000-01,1.8
aus,Mining,Diesel,2000-01,68.7
aus,Agriculture,Electricity,2000-01,7.8
aus,Agriculture,Naturalgas,2000-01,0.1
aus,Agriculture,Diesel,2000-01,72.1
aus,Agriculture,LPG,2000-01,1.2
aus,Mining,LPG,2000-01,0.7
aus,Mining,Browncoal,2000-01,8.1
aus,Mining,Blackcoal,2000-01,6.7
aus,Manufacturing,Blackcoal,2000-01,231
aus,Construction,LPG,2001-02,0.2
aus,Construction,Electricity,2001-02,0.3
aus,Construction,Naturalgas,2001-02,2.4
aus,Construction,Fueloil,2001-02,0.3
aus,Construction,Diesel,2001-02,24.3
aus,Transport_postal,Electricity,2001-02,8.3
aus,Transport_postal,Naturalgas,2001-02,15.5
aus,Transport_postal,Fueloil,2001-02,40
aus,Transport_postal,Diesel,2001-02,330.8
aus,Commercial_services,Naturalgas,2001-02,43.2
aus,Commercial_services,Fueloil,2001-02,0.1
aus,Commercial_services,Diesel,2001-02,16.5
aus,Commercial_services,LPG,2001-02,3.3
aus,Commercial_services,Blackcoal,2001-02,1.2
aus,Commercial_services,Solarenergy,2001-02,0.2
aus,Commercial_services,Electricity,2001-02,154.5
aus,Transport_postal,Blackcoal,2001-02,5
aus,Transport_postal,LPG,2001-02,56.5
aus,Electricity_gas_water_serv,LPG,2001-02,1.1
aus,Electricity_gas_water_serv,Browncoal,2001-02,661.6
aus,Electricity_gas_water_serv,Blackcoal,2001-02,1213.7
aus,Electricity_gas_water_serv,Electricity,2001-02,111.4
aus,Electricity_gas_water_serv,Naturalgas,2001-02,264.7
aus,Electricity_gas_water_serv,Fueloil,2001-02,3.3
aus,Electricity_gas_water_serv,Diesel,2001-02,11.4
aus,Residential,Blackcoal,2001-02,0.1
aus,Residential,Electricity,2001-02,180.2
aus,Residential,Solarenergy,2001-02,2.6
aus,Residential,Naturalgas,2001-02,124.9
aus,Residential,Diesel,2001-02,1.5
aus,Residential,LPG,2001-02,11
aus,Manufacturing,Liquid/gasBiofuels,2001-02,2.1
aus,Manufacturing,Electricity,2001-02,267.4
aus,Manufacturing,Naturalgas,2001-02,397.5
aus,Manufacturing,Fueloil,2001-02,35.4
aus,Manufacturing,Diesel,2001-02,13.1
aus,Manufacturing,LPG,2001-02,17.7
aus,Mining,Electricity,2001-02,56.9
aus,Mining,Naturalgas,2001-02,128.3
aus,Mining,Fueloil,2001-02,1.6
aus,Mining,Diesel,2001-02,74.5
aus,Mining,LPG,2001-02,0.8
aus,Agriculture,Electricity,2001-02,7.3
aus,Agriculture,Naturalgas,2001-02,0.1
aus,Agriculture,Diesel,2001-02,73
aus,Agriculture,LPG,2001-02,1.3
aus,Mining,Browncoal,2001-02,11.8
aus,Mining,Blackcoal,2001-02,6.7
aus,Manufacturing,Blackcoal,2001-02,232
aus,Construction,LPG,2002-03,0.2
aus,Construction,Electricity,2002-03,0.3
aus,Construction,Naturalgas,2002-03,2.5
aus,Construction,Fueloil,2002-03,0.3
aus,Construction,Diesel,2002-03,23.5
aus,Transport_postal,Electricity,2002-03,12.3
aus,Transport_postal,Naturalgas,2002-03,16.6
aus,Transport_postal,Fueloil,2002-03,38.5
aus,Transport_postal,Diesel,2002-03,345.5
aus,Transport_postal,LPG,2002-03,66.3
aus,Commercial_services,Naturalgas,2002-03,43.5
aus,Commercial_services,Fueloil,2002-03,0.1
aus,Commercial_services,Diesel,2002-03,15.6
aus,Commercial_services,LPG,2002-03,3.2
aus,Commercial_services,Blackcoal,2002-03,1.3
aus,Commercial_services,Solarenergy,2002-03,0.2
aus,Commercial_services,Electricity,2002-03,183.1
aus,Transport_postal,Blackcoal,2002-03,5
aus,Electricity_gas_water_serv,LPG,2002-03,0.9
aus,Electricity_gas_water_serv,Browncoal,2002-03,685.9
aus,Electricity_gas_water_serv,Blackcoal,2002-03,1176.2
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2002-03,8.4
aus,Electricity_gas_water_serv,Electricity,2002-03,111.2
aus,Electricity_gas_water_serv,Naturalgas,2002-03,240.9
aus,Electricity_gas_water_serv,Fueloil,2002-03,5.7
aus,Electricity_gas_water_serv,Diesel,2002-03,20.7
aus,Residential,Blackcoal,2002-03,0.1
aus,Residential,Electricity,2002-03,194
aus,Residential,Solarenergy,2002-03,2.6
aus,Residential,Naturalgas,2002-03,124.9
aus,Residential,Diesel,2002-03,1.6
aus,Residential,LPG,2002-03,11.4
aus,Manufacturing,Liquid/gasBiofuels,2002-03,2.6
aus,Manufacturing,Electricity,2002-03,236.2
aus,Manufacturing,Naturalgas,2002-03,407
aus,Manufacturing,Fueloil,2002-03,34.2
aus,Manufacturing,Diesel,2002-03,10.9
aus,Manufacturing,LPG,2002-03,15.8
aus,Mining,Liquid/gasBiofuels,2002-03,0.1
aus,Mining,Electricity,2002-03,52.1
aus,Mining,Naturalgas,2002-03,106.5
aus,Mining,Fueloil,2002-03,0.5
aus,Mining,Diesel,2002-03,92.2
aus,Agriculture,Electricity,2002-03,9.9
aus,Agriculture,Naturalgas,2002-03,0.1
aus,Agriculture,Diesel,2002-03,82.1
aus,Agriculture,LPG,2002-03,1.2
aus,Mining,LPG,2002-03,1.2
aus,Manufacturing,Browncoal,2002-03,13.2
aus,Manufacturing,Blackcoal,2002-03,245.4
aus,Construction,LPG,2003-04,0.2
aus,Construction,Naturalgas,2003-04,2.6
aus,Construction,Fueloil,2003-04,0.3
aus,Construction,Diesel,2003-04,23.3
aus,Construction,Electricity,2003-04,0.3
aus,Transport_postal,Electricity,2003-04,12.8
aus,Transport_postal,Naturalgas,2003-04,15.7
aus,Transport_postal,Fueloil,2003-04,41.1
aus,Transport_postal,Diesel,2003-04,360.1
aus,Transport_postal,LPG,2003-04,66
aus,Commercial_services,Naturalgas,2003-04,43.8
aus,Commercial_services,Fueloil,2003-04,0.1
aus,Commercial_services,Diesel,2003-04,16.5
aus,Commercial_services,LPG,2003-04,4.2
aus,Commercial_services,Blackcoal,2003-04,1.3
aus,Commercial_services,Solarenergy,2003-04,0.2
aus,Commercial_services,Electricity,2003-04,187.3
aus,Transport_postal,Blackcoal,2003-04,5.8
aus,Electricity_gas_water_serv,LPG,2003-04,1.2
aus,Electricity_gas_water_serv,Browncoal,2003-04,704.7
aus,Electricity_gas_water_serv,Blackcoal,2003-04,1245.1
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2003-04,8.7
aus,Electricity_gas_water_serv,Electricity,2003-04,123.2
aus,Electricity_gas_water_serv,Naturalgas,2003-04,259.9
aus,Electricity_gas_water_serv,Fueloil,2003-04,6.8
aus,Electricity_gas_water_serv,Diesel,2003-04,26.2
aus,Residential,Blackcoal,2003-04,0.1
aus,Residential,Electricity,2003-04,201.5
aus,Residential,Solarenergy,2003-04,2.5
aus,Residential,Naturalgas,2003-04,125.3
aus,Residential,Diesel,2003-04,1.5
aus,Residential,LPG,2003-04,11.2
aus,Manufacturing,Liquid/gasBiofuels,2003-04,1.7
aus,Manufacturing,Electricity,2003-04,237.1
aus,Manufacturing,Naturalgas,2003-04,417.4
aus,Manufacturing,Fueloil,2003-04,33.6
aus,Manufacturing,Diesel,2003-04,11.5
aus,Manufacturing,LPG,2003-04,16.5
