,location,date,population,GDP,energy_consumption,GSP
0,aus,2000-01,19274701.0,1127062.0,5011.8,
1,aus,2001-02,19495210.0,1172160.0,5097.0,
2,aus,2002-03,19720737.0,1207160.0,5138.7,
3,aus,2003-04,19932722.0,1256117.0,5284.7,
4,aus,2004-05,20176844.0,1296365.0,5399.2,
5,aus,2005-06,20450966.0,1332593.0,5546.7,
6,aus,2006-07,20827622.0,1383822.0,5724.0,
7,aus,2007-08,21249199.0,1434441.0,5738.3,
8,aus,2008-09,21691653.0,1462225.0,5843.8,
9,aus,2009-10,22031750.0,1492456.0,5823.3,
10,aus,2010-11,22340024.0,1529212.0,5902.2,
11,aus,2011-12,22733465.0,1589129.0,5887.8,
12,aus,2012-13,23128129.0,1630206.0,5915.3,
13,aus,2013-14,23475686.0,1671501.0,5891.4,
14,aus,2014-15,23815995.0,1708151.0,5897.3,
15,aus,2015-16,24190907.0,1755478.0,6040.8,
16,aus,2016-17,24601860.0,1797041.0,6114.6,
17,aus,2017-18,24982688.0,1849880.0,6159.1,
18,aus,2018-19,25357553.0,1884969.0,6196.0,
19,nsw,2000-01,6851887.0,,1450.5,411286.0
20,nsw,2001-02,6905434.0,,1445.7,419311.0
21,nsw,2002-03,6948072.0,,1510.5,428112.0
22,nsw,2003-04,6979675.0,,1574.8,442714.0
23,nsw,2004-05,7024605.0,,1544.9,450746.0
24,nsw,2005-06,7077860.0,,1546.0,457016.0
25,nsw,2006-07,7176800.0,,1568.9,465480.0
26,nsw,2007-08,7291829.0,,1610.7,477101.0
27,nsw,2008-09,7408540.0,,1592.2,482539.0
28,nsw,2009-10,7506058.0,,1643.2,492315.0
29,nsw,2010-11,7586514.0,,1665.7,504340.0
30,nsw,2011-12,7680783.0,,1619.6,516038.0
31,nsw,2012-13,7787289.0,,1566.2,525816.0
32,nsw,2013-14,7897152.0,,1514.2,535464.0
33,nsw,2014-15,8011981.0,,1467.6,549534.0
34,nsw,2015-16,8135962.0,,1514.7,570349.0
35,nsw,2016-17,8279961.0,,1525.3,588454.0
36,nsw,2017-18,8400547.0,,1545.1,603143.0
37,nsw,2018-19,8511621.0,,1540.6,614409.0
38,nt,2000-01,201743.0,,73.2,14361.0
39,nt,2001-02,202251.0,,73.4,15378.0
40,nt,2002-03,201725.0,,56.8,15471.0
41,nt,2003-04,202663.0,,58.7,15570.0
42,nt,2004-05,205905.0,,61.5,15787.0
43,nt,2005-06,209057.0,,73.0,17010.0
44,nt,2006-07,213748.0,,82.8,18791.0
45,nt,2007-08,219874.0,,96.0,19162.0
46,nt,2008-09,226027.0,,95.1,20437.0
47,nt,2009-10,229778.0,,94.2,20147.0
48,nt,2010-11,231292.0,,99.8,20635.0
49,nt,2011-12,235915.0,,98.2,21607.0
50,nt,2012-13,241722.0,,100.1,24189.0
51,nt,2013-14,242894.0,,99.1,24502.0
52,nt,2014-15,244692.0,,83.7,25105.0
53,nt,2015-16,245678.0,,83.9,25601.0
54,nt,2016-17,247517.0,,83.2,25977.0
55,nt,2017-18,247058.0,,91.1,26501.0
56,nt,2018-19,246103.0,,140.1,26109.0
57,qld,2000-01,3571469.0,,1020.0,192765.0
58,qld,2001-02,3653123.0,,1057.8,205841.0
59,qld,2002-03,3743121.0,,1064.0,212503.0
60,qld,2003-04,3829970.0,,1081.1,225939.0
61,qld,2004-05,3918494.0,,1225.1,238219.0
62,qld,2005-06,4007992.0,,1279.5,250498.0
63,qld,2006-07,4111018.0,,1329.0,267333.0
64,qld,2007-08,4219505.0,,1289.5,279738.0
65,qld,2008-09,4328771.0,,1346.7,283635.0
66,qld,2009-10,4404744.0,,1295.8,287659.0
67,qld,2010-11,4476778.0,,1251.3,289605.0
68,qld,2011-12,4568687.0,,1316.4,305645.0
69,qld,2012-13,4652824.0,,1336.5,314029.0
70,qld,2013-14,4719653.0,,1337.9,320742.0
71,qld,2014-15,4777692.0,,1432.0,323849.0
72,qld,2015-16,4845152.0,,1460.2,331726.0
73,qld,2016-17,4927629.0,,1529.6,339652.0
74,qld,2017-18,5009424.0,,1552.5,352248.0
75,qld,2018-19,5092526.0,,1525.3,357044.0
76,sa,2000-01,1503461.0,,329.3,77122.0
77,sa,2001-02,1511567.0,,328.1,79882.0
78,sa,2002-03,1520399.0,,357.3,81310.0
79,sa,2003-04,1528189.0,,371.5,83202.0
80,sa,2004-05,1538804.0,,355.6,84430.0
81,sa,2005-06,1552529.0,,350.1,86297.0
82,sa,2006-07,1570619.0,,375.5,88355.0
83,sa,2007-08,1588665.0,,372.5,92502.0
84,sa,2008-09,1608902.0,,357.1,95215.0
85,sa,2009-10,1627322.0,,343.5,97099.0
86,sa,2010-11,1639614.0,,342.6,98612.0
87,sa,2011-12,1656725.0,,307.5,99569.0
88,sa,2012-13,1671488.0,,356.2,100633.0
89,sa,2013-14,1686945.0,,343.5,101438.0
90,sa,2014-15,1700668.0,,363.4,102333.0
91,sa,2015-16,1712843.0,,323.5,102602.0
92,sa,2016-17,1723923.0,,295.1,104125.0
93,sa,2017-18,1736527.0,,335.5,106477.0
94,sa,2018-19,1752326.0,,322.6,107990.0
95,tas,2000-01,473668.0,,93.6,21192.0
96,tas,2001-02,474152.0,,97.2,22129.0
97,tas,2002-03,478534.0,,99.5,22766.0
98,tas,2003-04,483178.0,,103.4,23912.0
99,tas,2004-05,486202.0,,107.4,24390.0
100,tas,2005-06,489302.0,,111.6,25176.0
101,tas,2006-07,493262.0,,113.3,25947.0
102,tas,2007-08,498568.0,,115.5,26839.0
103,tas,2008-09,504353.0,,114.9,27375.0
104,tas,2009-10,508847.0,,114.9,27605.0
105,tas,2010-11,511483.0,,114.9,28130.0
106,tas,2011-12,511724.0,,108.1,28333.0
107,tas,2012-13,512231.0,,113.5,28259.0
108,tas,2013-14,513621.0,,108.7,28552.0
109,tas,2014-15,515117.0,,105.4,28865.0
110,tas,2015-16,517514.0,,107.5,29364.0
111,tas,2016-17,522410.0,,107.9,29685.0
112,tas,2017-18,528298.0,,110.9,30710.0
113,tas,2018-19,534599.0,,108.8,31819.0
114,vic,2000-01,4763615.0,,1337.2,268713.0
115,vic,2001-02,4817774.0,,1371.9,279448.0
116,vic,2002-03,4873809.0,,1330.6,289224.0
117,vic,2003-04,4927149.0,,1364.9,298886.0
118,vic,2004-05,4989246.0,,1356.5,311197.0
119,vic,2005-06,5061266.0,,1429.5,317619.0
120,vic,2006-07,5153522.0,,1433.9,326877.0
121,vic,2007-08,5256375.0,,1426.1,338154.0
122,vic,2008-09,5371934.0,,1418.9,344311.0
123,vic,2009-10,5461101.0,,1424.3,348730.0
124,vic,2010-11,5537817.0,,1446.0,358943.0
125,vic,2011-12,5651091.0,,1454.3,366246.0
126,vic,2012-13,5772669.0,,1422.4,370232.0
127,vic,2013-14,5894917.0,,1420.7,378812.0
128,vic,2014-15,6022322.0,,1403.5,389391.0
129,vic,2015-16,6173172.0,,1430.4,402564.0
130,vic,2016-17,6321606.0,,1400.6,418885.0
131,vic,2017-18,6462019.0,,1317.4,432993.0
132,vic,2018-19,6593884.0,,1297.6,446079.0
133,wa,2000-01,1906274.0,,708.1,122969.0
134,wa,2001-02,1928512.0,,722.9,131200.0
135,wa,2002-03,1952741.0,,720.0,138059.0
136,wa,2003-04,1979542.0,,730.3,146469.0
137,wa,2004-05,2011207.0,,748.2,151620.0
138,wa,2005-06,2050581.0,,757.1,158729.0
139,wa,2006-07,2106139.0,,820.7,168938.0
140,wa,2007-08,2171700.0,,828.0,177371.0
141,wa,2008-09,2240250.0,,918.8,183919.0
142,wa,2009-10,2290845.0,,907.5,192854.0
143,wa,2010-11,2353409.0,,981.8,201434.0
144,wa,2011-12,2425507.0,,983.6,220648.0
145,wa,2012-13,2486944.0,,1020.3,233689.0
146,wa,2013-14,2517608.0,,1067.3,247281.0
147,wa,2014-15,2540672.0,,1041.8,253346.0
148,wa,2015-16,2555978.0,,1120.7,256383.0
149,wa,2016-17,2574193.0,,1172.9,251941.0
150,wa,2017-18,2594181.0,,1206.6,258120.0
151,wa,2018-19,2621836.0,,1261.0,260640.0
