,,,,,,,,,,,,,,,,,,,
,Table H4,,,,,,,,,,,,,,,,,,
,"Total final energy consumption in Australia, by state and territory, by fuel, energy units a",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,
,,PJ,,,,,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,
,New South Wales,,,,,,,,,,,,,,,,,,
,Coal,43.9,47.2,49.6,47.0,46.2,48.8,18.5,17.2,18.5,14.6,12.0,12.2,11.1,11.1,11.0,11.0,10.6,25.32723529
,Gas,115.1,113.8,107.7,106.5,105.6,105.1,96.4,96.4,98.6,94.5,97.9,97.8,99.8,100.7,97.5,102.1,105.9,102.4292353
,Oil,514.3,538.9,554.3,561.3,573.0,582.1,579.3,606.1,624.7,633.8,635.8,626.0,625.2,629.8,649.9,658.7,654.1,602.7912941
,Electricity,232.9,238.4,233.6,236.4,247.6,246.6,245.2,251.2,254.0,246.9,238.8,231.6,238.7,240.3,241.7,244.4,245.4,241.9794118
,Renewables,37.5,35.6,34.8,34.3,35.6,36.4,41.1,44.3,49.0,50.1,45.9,47.3,43.2,41.6,41.0,40.4,38.9,41.00570588
,Total,943.6,973.9,980.0,985.5,1008.1,1019.0,980.5,1015.2,1044.8,1040.0,1030.4,1014.8,1018.1,1023.6,1041.0,1056.5,1055.0,
,,,,,,,,,,,,,,,,,,,
,Victoria,,,,,,,,,,,,,,,,,,
,Coal,12.1,6.9,11.7,10.2,6.1,5.5,4.6,4.1,4.2,3.7,3.4,3.3,0.7,0.6,0.8,0.8,0.9,4.677470588
,Gas,213.8,219.3,215.4,215.1,214.6,218.8,221.4,221.6,224.4,230.3,234.8,242.7,244.3,244.5,233.4,231.9,230.5,226.8721765
,Oil,376.5,402.9,409.1,412.0,416.9,414.9,407.2,415.4,419.3,426.5,426.9,434.3,437.3,431.4,438.7,448.1,465.3,422.5073529
,Electricity,142.8,145.0,146.4,150.3,160.4,160.4,158.0,164.2,157.0,154.8,153.0,148.6,147.3,147.0,141.8,148.2,147.5,151.3255882
,Renewables,30.8,30.0,29.3,28.1,27.6,27.2,19.8,19.9,20.2,20.7,20.8,20.9,21.2,20.7,20.8,21.0,21.4,23.55152941
,Total,775.9,804.1,811.8,815.8,825.6,826.7,810.9,825.3,825.1,836.0,838.9,849.7,850.8,844.2,835.7,850.0,865.6,
,,,,,,,,,,,,,,,,,,,
,Queensland,,,,,,,,,,,,,,,,,,
,Coal,54.5,56.0,62.6,60.6,63.6,67.4,59.9,57.2,48.3,46.7,46.8,47.7,50.7,54.0,50.3,50.3,47.3,54.341
,Gas,65.6,66.4,69.0,70.6,73.5,81.3,78.8,85.4,89.6,89.8,100.9,103.8,115.2,147.4,182.4,189.4,189.6,105.8076471
,Oil,358.3,379.2,399.5,406.6,415.9,431.7,442.0,450.7,457.5,486.4,499.8,514.1,502.0,521.9,530.7,551.9,551.1,464.6672941
